Customer_ID,Subscription_Category,Subscription_Plan,Monthly_Price,Signup_Date,Status
CUST00051,Music,Standard,14.99,2/12/2023,Churned
CUST00052,Education,Basic,9.99,7/21/2022,Active
CUST00053,Gaming,Basic,9.99,7/18/2022,Active
CUST00054,Gaming,Basic,9.99,9/7/2023,Active
CUST00055,Sports,Premium,19.99,7/5/2023,Churned
CUST00056,News,Premium,19.99,5/19/2022,Active
CUST00057,Music,Standard,14.99,3/6/2024,Active
CUST00058,News,Premium,19.99,6/6/2024,Active
CUST00059,Education,Basic,9.99,5/10/2024,Churned
CUST00060,Music,Premium,19.99,10/13/2023,Churned
CUST00061,News,Premium,19.99,9/16/2023,Active
CUST00062,Music,Premium,19.99,5/6/2022,Active
CUST00063,News,Standard,14.99,1/6/2023,Active
CUST00064,News,Basic,9.99,2/28/2024,Active
CUST00065,Sports,Basic,9.99,4/20/2024,Active
CUST00066,News,Basic,9.99,5/11/2024,Active
CUST00067,Sports,Standard,14.99,4/29/2024,Churned
CUST00068,Music,Standard,14.99,1/13/2023,Churned
CUST00069,Education,Basic,9.99,9/29/2022,Churned
CUST00070,News,Standard,14.99,2/26/2022,Active
CUST00071,Music,Standard,14.99,11/2/2022,Active
CUST00072,Sports,Premium,19.99,11/29/2022,Active
CUST00073,News,Standard,14.99,5/11/2024,Active
CUST00074,News,Standard,14.99,9/12/2022,Active
CUST00075,Music,Standard,14.99,12/12/2022,Active
CUST00076,News,Basic,9.99,3/15/2023,Churned
CUST00077,Music,Standard,14.99,7/2/2023,Active
CUST00078,Gaming,Premium,19.99,5/25/2022,Churned
CUST00079,Music,Basic,9.99,9/5/2023,Active
CUST00080,Gaming,Premium,19.99,3/3/2024,Churned
CUST00081,News,Basic,9.99,11/25/2022,Active
CUST00082,Gaming,Basic,9.99,6/11/2024,Active
CUST00083,News,Standard,14.99,1/2/2023,Active
CUST00084,Sports,Basic,9.99,5/24/2023,Active
CUST00085,Sports,Standard,14.99,6/22/2023,Churned
CUST00086,Sports,Premium,19.99,5/9/2024,Active
CUST00087,Gaming,Standard,14.99,8/18/2022,Active
CUST00088,Education,Basic,9.99,3/30/2023,Active
CUST00089,Sports,Standard,14.99,4/6/2024,Active
CUST00090,News,Basic,9.99,10/13/2023,Active
CUST00091,Music,Standard,14.99,4/24/2022,Active
CUST00092,Education,Premium,19.99,3/23/2023,Active
CUST00093,Sports,Standard,14.99,5/18/2022,Churned
CUST00094,Sports,Basic,9.99,2/8/2022,Churned
CUST00095,Music,Basic,9.99,2/18/2023,Active
CUST00096,Education,Premium,19.99,11/26/2022,Active
CUST00097,News,Basic,9.99,1/19/2024,Active
CUST00098,Music,Basic,9.99,11/8/2022,Active
CUST00099,Gaming,Premium,19.99,4/21/2024,Active
CUST00100,Gaming,Basic,9.99,2/6/2024,Churned
CUST00101,News,Standard,14.99,8/19/2022,Active
CUST00102,News,Premium,19.99,3/22/2023,Active
CUST00103,News,Standard,14.99,3/20/2022,Churned
CUST00104,News,Standard,14.99,5/23/2022,Churned
CUST00105,Music,Basic,9.99,5/10/2022,Active
CUST00106,Education,Standard,14.99,7/20/2023,Active
CUST00107,Gaming,Premium,19.99,12/28/2022,Active
CUST00108,Music,Standard,14.99,2/18/2022,Active
CUST00109,Gaming,Basic,9.99,8/31/2023,Churned
CUST00110,News,Premium,19.99,7/30/2022,Active
CUST00111,News,Basic,9.99,6/16/2024,Active
CUST00112,Music,Basic,9.99,6/16/2022,Active
CUST00113,Sports,Basic,9.99,5/30/2022,Active
CUST00114,News,Basic,9.99,11/9/2023,Active
CUST00115,News,Basic,9.99,4/28/2022,Active
CUST00116,Music,Basic,9.99,11/16/2023,Active
CUST00117,Sports,Basic,9.99,4/16/2024,Active
CUST00118,Sports,Standard,14.99,12/16/2022,Active
CUST00119,Gaming,Basic,9.99,10/26/2022,Active
CUST00120,Sports,Standard,14.99,3/16/2024,Churned
CUST00121,Music,Basic,9.99,7/18/2023,Active
CUST00122,Sports,Basic,9.99,10/22/2022,Active
CUST00123,Education,Basic,9.99,3/14/2024,Churned
CUST00124,Education,Premium,19.99,5/30/2024,Active
CUST00125,Gaming,Standard,14.99,7/23/2023,Active
CUST00126,News,Basic,9.99,5/16/2024,Churned
CUST00127,Gaming,Premium,19.99,10/24/2022,Active
CUST00128,Gaming,Basic,9.99,3/30/2024,Active
CUST00129,Gaming,Basic,9.99,10/25/2023,Active
CUST00130,Education,Premium,19.99,7/8/2022,Active
CUST00131,Education,Basic,9.99,1/22/2024,Churned
CUST00132,News,Premium,19.99,7/23/2022,Active
CUST00133,Sports,Basic,9.99,7/16/2022,Churned
CUST00134,News,Standard,14.99,3/7/2024,Active
CUST00135,Sports,Premium,19.99,7/12/2023,Active
CUST00136,Music,Standard,14.99,1/17/2024,Churned
CUST00137,Sports,Premium,19.99,11/20/2023,Churned
CUST00138,Music,Standard,14.99,7/8/2022,Active
CUST00139,Music,Premium,19.99,9/12/2023,Active
CUST00140,Music,Basic,9.99,1/5/2023,Churned
CUST00141,Gaming,Standard,14.99,5/14/2022,Active
CUST00142,Education,Premium,19.99,9/24/2022,Churned
CUST00143,Education,Basic,9.99,11/14/2023,Active
CUST00144,Gaming,Standard,14.99,10/21/2022,Active
CUST00145,Music,Basic,9.99,1/6/2022,Churned
CUST00146,News,Premium,19.99,4/14/2022,Churned
CUST00147,Sports,Standard,14.99,11/22/2023,Churned
CUST00148,Music,Basic,9.99,2/1/2023,Active
CUST00149,News,Basic,9.99,1/5/2022,Active
CUST00150,Education,Basic,9.99,6/28/2022,Active
CUST00151,News,Basic,9.99,3/7/2024,Churned
CUST00152,Music,Basic,9.99,6/13/2024,Active
CUST00153,Gaming,Premium,19.99,2/8/2023,Active
CUST00154,Education,Premium,19.99,11/22/2023,Churned
CUST00155,Education,Standard,14.99,11/15/2022,Active
CUST00156,Music,Premium,19.99,12/13/2022,Active
CUST00157,Sports,Standard,14.99,10/19/2022,Active
CUST00158,News,Standard,14.99,2/16/2022,Active
CUST00159,Music,Basic,9.99,6/24/2022,Active
CUST00160,Education,Basic,9.99,4/5/2023,Churned
CUST00161,News,Standard,14.99,8/7/2023,Churned
CUST00162,Sports,Standard,14.99,3/18/2022,Active
CUST00163,Gaming,Basic,9.99,7/2/2023,Churned
CUST00164,Music,Basic,9.99,11/23/2023,Active
CUST00165,Music,Premium,19.99,6/22/2023,Churned
CUST00166,News,Basic,9.99,5/7/2024,Churned
CUST00167,News,Standard,14.99,9/23/2023,Active
CUST00168,News,Basic,9.99,10/21/2023,Churned
CUST00169,Music,Premium,19.99,11/28/2023,Active
CUST00170,Sports,Basic,9.99,6/5/2022,Churned
CUST00171,Gaming,Premium,19.99,8/21/2023,Active
CUST00172,Gaming,Standard,14.99,12/24/2023,Active
CUST00173,Education,Basic,9.99,7/1/2023,Churned
CUST00174,Music,Premium,19.99,4/4/2022,Churned
CUST00175,Sports,Premium,19.99,12/28/2023,Active
CUST00176,Education,Premium,19.99,11/11/2023,Active
CUST00177,Education,Premium,19.99,9/10/2022,Active
CUST00178,News,Standard,14.99,10/31/2022,Active
CUST00179,Education,Premium,19.99,10/19/2022,Churned
CUST00180,Gaming,Premium,19.99,10/30/2023,Active
CUST00181,Music,Basic,9.99,1/19/2023,Active
CUST00182,Gaming,Standard,14.99,4/1/2024,Churned
CUST00183,Music,Premium,19.99,7/1/2022,Churned
CUST00184,Sports,Premium,19.99,3/16/2022,Active
CUST00185,Music,Basic,9.99,6/3/2023,Churned
CUST00186,Sports,Standard,14.99,6/23/2023,Churned
CUST00187,Gaming,Premium,19.99,5/25/2023,Active
CUST00188,News,Premium,19.99,10/9/2023,Churned
CUST00189,Gaming,Premium,19.99,10/1/2022,Active
CUST00190,Music,Basic,9.99,8/29/2022,Churned
CUST00191,Education,Basic,9.99,12/9/2023,Churned
CUST00192,Music,Basic,9.99,1/13/2023,Active
CUST00193,News,Premium,19.99,6/21/2022,Churned
CUST00194,Education,Basic,9.99,2/29/2024,Churned
CUST00195,Sports,Premium,19.99,11/1/2023,Churned
CUST00196,Music,Standard,14.99,5/28/2023,Active
CUST00197,Education,Standard,14.99,12/25/2022,Active
CUST00198,News,Basic,9.99,3/10/2022,Churned
CUST00199,Gaming,Standard,14.99,2/10/2023,Active
CUST00200,News,Standard,14.99,6/4/2024,Active
CUST00201,News,Standard,14.99,3/31/2023,Active
CUST00202,Gaming,Basic,9.99,1/1/2024,Active
CUST00203,Education,Basic,9.99,12/19/2023,Active
CUST00204,Education,Premium,19.99,5/3/2023,Active
CUST00205,Music,Premium,19.99,8/28/2022,Active
CUST00206,Sports,Premium,19.99,4/5/2023,Churned
CUST00207,Music,Standard,14.99,3/15/2023,Active
CUST00208,Gaming,Premium,19.99,5/9/2022,Churned
CUST00209,Gaming,Standard,14.99,7/12/2023,Active
CUST00210,Music,Standard,14.99,7/30/2022,Active
CUST00211,Music,Basic,9.99,6/14/2023,Active
CUST00212,News,Premium,19.99,3/7/2023,Churned
CUST00213,Sports,Basic,9.99,3/28/2024,Active
CUST00214,News,Basic,9.99,12/3/2022,Churned
CUST00215,Music,Basic,9.99,2/10/2023,Active
CUST00216,Sports,Standard,14.99,4/15/2022,Active
CUST00217,Gaming,Premium,19.99,5/4/2022,Active
CUST00218,Music,Basic,9.99,6/5/2024,Active
CUST00219,News,Premium,19.99,11/2/2023,Churned
CUST00220,Music,Standard,14.99,4/4/2023,Active
CUST00221,Education,Basic,9.99,11/3/2022,Active
CUST00222,Gaming,Premium,19.99,12/7/2022,Active
CUST00223,Sports,Standard,14.99,9/13/2023,Active
CUST00224,Education,Standard,14.99,2/6/2023,Active
CUST00225,Gaming,Basic,9.99,4/3/2024,Active
CUST00226,Gaming,Standard,14.99,6/5/2022,Active
CUST00227,Education,Standard,14.99,8/20/2022,Churned
CUST00228,News,Basic,9.99,9/23/2023,Churned
CUST00229,Sports,Basic,9.99,12/5/2022,Churned
CUST00230,Gaming,Premium,19.99,8/15/2022,Churned
CUST00231,News,Basic,9.99,7/21/2022,Active
CUST00232,News,Standard,14.99,5/3/2023,Active
CUST00233,Gaming,Standard,14.99,3/23/2023,Active
CUST00234,News,Standard,14.99,6/6/2024,Churned
CUST00235,Gaming,Premium,19.99,5/14/2024,Active
CUST00236,Education,Premium,19.99,9/20/2023,Active
CUST00237,News,Basic,9.99,6/14/2022,Churned
CUST00238,Education,Standard,14.99,11/25/2023,Active
CUST00239,Gaming,Basic,9.99,3/6/2024,Active
CUST00240,News,Premium,19.99,9/1/2022,Churned
CUST00241,News,Basic,9.99,8/21/2023,Active
CUST00242,Sports,Standard,14.99,4/22/2023,Churned
CUST00243,Education,Standard,14.99,12/18/2023,Active
CUST00244,Sports,Standard,14.99,3/2/2023,Active
CUST00245,Sports,Standard,14.99,9/24/2023,Active
CUST00246,Sports,Basic,9.99,10/31/2022,Active
CUST00247,Gaming,Basic,9.99,2/8/2024,Churned
CUST00248,News,Basic,9.99,9/18/2023,Active
CUST00249,Gaming,Basic,9.99,3/1/2024,Active
CUST00250,Music,Basic,9.99,11/30/2022,Active
CUST00251,Sports,Basic,9.99,12/22/2022,Active
CUST00252,Sports,Standard,14.99,3/22/2023,Active
CUST00253,Music,Premium,19.99,6/21/2023,Active
CUST00254,Music,Basic,9.99,11/2/2023,Active
CUST00255,Gaming,Basic,9.99,9/1/2022,Active
CUST00256,Gaming,Basic,9.99,8/19/2023,Churned
CUST00257,News,Basic,9.99,9/23/2023,Active
CUST00258,Education,Standard,14.99,1/13/2024,Active
CUST00259,Sports,Premium,19.99,5/28/2022,Active
CUST00260,News,Premium,19.99,11/20/2023,Active
CUST00261,Sports,Premium,19.99,8/25/2023,Active
CUST00262,News,Basic,9.99,8/26/2022,Churned
CUST00263,Gaming,Basic,9.99,4/7/2022,Active
CUST00264,News,Premium,19.99,1/17/2022,Churned
CUST00265,News,Premium,19.99,11/16/2023,Active
CUST00266,Sports,Premium,19.99,3/30/2024,Churned
CUST00267,Music,Standard,14.99,1/6/2024,Churned
CUST00268,Gaming,Standard,14.99,7/30/2023,Active
CUST00269,Sports,Basic,9.99,9/25/2023,Churned
CUST00270,Music,Basic,9.99,11/8/2023,Active
CUST00271,Music,Standard,14.99,5/15/2023,Active
CUST00272,Music,Standard,14.99,6/1/2023,Active
CUST00273,News,Standard,14.99,4/9/2022,Active
CUST00274,Gaming,Basic,9.99,9/29/2022,Active
CUST00275,News,Premium,19.99,1/20/2024,Churned
CUST00276,News,Basic,9.99,12/15/2023,Active
CUST00277,Music,Standard,14.99,1/17/2023,Active
CUST00278,Gaming,Standard,14.99,12/21/2023,Active
CUST00279,Music,Premium,19.99,4/5/2022,Active
CUST00280,Gaming,Premium,19.99,12/22/2022,Churned
CUST00281,Sports,Standard,14.99,2/1/2023,Active
CUST00282,Gaming,Basic,9.99,10/27/2023,Active
CUST00283,Sports,Standard,14.99,2/13/2024,Churned
CUST00284,Sports,Premium,19.99,7/16/2023,Churned
CUST00285,News,Standard,14.99,1/16/2023,Active
CUST00286,News,Premium,19.99,1/11/2023,Active
CUST00287,Music,Standard,14.99,12/5/2023,Churned
CUST00288,Sports,Basic,9.99,5/2/2023,Active
CUST00289,Education,Basic,9.99,6/8/2022,Active
CUST00290,Gaming,Premium,19.99,9/19/2023,Churned
CUST00291,News,Basic,9.99,10/31/2023,Active
CUST00292,Sports,Premium,19.99,2/25/2022,Active
CUST00293,Gaming,Basic,9.99,4/2/2024,Active
CUST00294,Sports,Basic,9.99,11/17/2023,Active
CUST00295,Gaming,Basic,9.99,6/27/2022,Churned
CUST00296,Music,Premium,19.99,5/1/2023,Active
CUST00297,Gaming,Standard,14.99,9/23/2022,Churned
CUST00298,News,Basic,9.99,8/26/2022,Churned
CUST00299,Gaming,Standard,14.99,4/5/2022,Active
CUST00300,News,Standard,14.99,10/12/2022,Active
CUST00301,Music,Standard,14.99,9/27/2023,Active
CUST00302,News,Basic,9.99,4/21/2023,Active
CUST00303,Music,Premium,19.99,5/22/2023,Churned
CUST00304,Education,Premium,19.99,5/8/2024,Churned
CUST00305,Sports,Standard,14.99,5/15/2024,Churned
CUST00306,Music,Basic,9.99,1/21/2022,Active
CUST00307,News,Premium,19.99,6/1/2023,Active
CUST00308,Sports,Standard,14.99,10/26/2022,Active
CUST00309,Sports,Standard,14.99,4/5/2024,Active
CUST00310,Sports,Basic,9.99,4/26/2024,Active
CUST00311,Sports,Premium,19.99,6/14/2023,Active
CUST00312,News,Standard,14.99,10/14/2022,Active
CUST00313,News,Premium,19.99,4/18/2024,Active
CUST00314,Music,Basic,9.99,6/6/2022,Churned
CUST00315,Gaming,Premium,19.99,8/27/2022,Active
CUST00316,Music,Standard,14.99,5/24/2024,Churned
CUST00317,Education,Basic,9.99,1/14/2023,Churned
CUST00318,Education,Premium,19.99,2/12/2022,Active
CUST00319,Gaming,Premium,19.99,3/3/2024,Active
CUST00320,Sports,Basic,9.99,10/13/2023,Churned
CUST00321,News,Standard,14.99,10/20/2023,Active
CUST00322,Gaming,Premium,19.99,10/3/2023,Active
CUST00323,News,Standard,14.99,10/16/2022,Active
CUST00324,News,Premium,19.99,9/18/2022,Active
CUST00325,Sports,Premium,19.99,1/11/2023,Active
CUST00326,Sports,Premium,19.99,3/8/2022,Active
CUST00327,Music,Standard,14.99,1/29/2024,Active
CUST00328,News,Standard,14.99,11/28/2023,Active
CUST00329,Music,Basic,9.99,12/3/2022,Active
CUST00330,Education,Basic,9.99,6/25/2022,Active
CUST00331,Sports,Basic,9.99,3/22/2023,Churned
CUST00332,News,Premium,19.99,1/27/2023,Churned
CUST00333,Education,Basic,9.99,3/7/2022,Churned
CUST00334,Sports,Premium,19.99,8/21/2022,Active
CUST00335,Gaming,Standard,14.99,12/16/2022,Active
CUST00336,Education,Standard,14.99,2/11/2023,Churned
CUST00337,Gaming,Basic,9.99,7/5/2023,Active
CUST00338,Sports,Standard,14.99,12/11/2023,Churned
CUST00339,Gaming,Standard,14.99,6/28/2022,Active
CUST00340,Education,Premium,19.99,1/12/2024,Active
CUST00341,News,Basic,9.99,7/9/2022,Active
CUST00342,Music,Standard,14.99,3/11/2024,Active
CUST00343,Music,Basic,9.99,10/2/2023,Active
CUST00344,Music,Basic,9.99,1/3/2024,Active
CUST00345,Gaming,Premium,19.99,7/14/2022,Active
CUST00346,Music,Basic,9.99,3/29/2023,Active
CUST00347,News,Premium,19.99,8/11/2022,Active
CUST00348,Sports,Basic,9.99,12/10/2023,Churned
CUST00349,News,Standard,14.99,1/30/2024,Active
CUST00350,Sports,Premium,19.99,9/29/2023,Active
CUST00351,Music,Basic,9.99,4/18/2023,Active
CUST00352,Music,Standard,14.99,5/17/2024,Active
CUST00353,Education,Standard,14.99,8/22/2023,Active
CUST00354,Sports,Premium,19.99,5/24/2022,Active
CUST00355,Gaming,Basic,9.99,3/29/2022,Churned
CUST00356,Sports,Standard,14.99,4/8/2022,Active
CUST00357,Gaming,Premium,19.99,9/21/2022,Churned
CUST00358,Education,Basic,9.99,9/2/2022,Churned
CUST00359,Music,Basic,9.99,4/2/2024,Churned
CUST00360,Music,Premium,19.99,10/14/2022,Churned
CUST00361,Education,Premium,19.99,6/17/2023,Active
CUST00362,Gaming,Standard,14.99,5/21/2024,Churned
CUST00363,Education,Premium,19.99,8/3/2022,Active
CUST00364,Music,Basic,9.99,3/17/2022,Churned
CUST00365,News,Basic,9.99,4/30/2023,Active
CUST00366,Music,Premium,19.99,6/27/2023,Churned
CUST00367,Sports,Premium,19.99,11/11/2023,Churned
CUST00368,Sports,Premium,19.99,6/6/2022,Churned
CUST00369,Education,Premium,19.99,6/17/2022,Churned
CUST00370,Gaming,Premium,19.99,12/14/2023,Churned
CUST00371,News,Basic,9.99,6/3/2024,Active
CUST00372,Education,Basic,9.99,10/9/2022,Active
CUST00373,News,Standard,14.99,11/13/2023,Active
CUST00374,Sports,Basic,9.99,4/21/2023,Churned
CUST00375,Education,Premium,19.99,7/4/2023,Active
CUST00376,Education,Premium,19.99,1/29/2024,Churned
CUST00377,Education,Standard,14.99,10/10/2023,Churned
CUST00378,Sports,Basic,9.99,7/23/2022,Churned
CUST00379,Music,Standard,14.99,11/19/2022,Active
CUST00380,News,Basic,9.99,4/2/2023,Active
CUST00381,Gaming,Standard,14.99,11/13/2022,Active
CUST00382,Gaming,Premium,19.99,12/23/2023,Active
CUST00383,Education,Premium,19.99,8/29/2023,Churned
CUST00384,Music,Premium,19.99,6/25/2023,Active
CUST00385,News,Basic,9.99,5/23/2022,Churned
CUST00386,News,Basic,9.99,11/19/2023,Churned
CUST00387,Gaming,Basic,9.99,5/31/2024,Active
CUST00388,Music,Basic,9.99,3/29/2022,Active
CUST00389,Gaming,Premium,19.99,10/16/2022,Active
CUST00390,Gaming,Premium,19.99,3/24/2023,Active
CUST00391,Music,Premium,19.99,2/7/2024,Churned
CUST00392,News,Standard,14.99,1/15/2023,Churned
CUST00393,Gaming,Premium,19.99,2/5/2022,Churned
CUST00394,News,Basic,9.99,10/29/2022,Active
CUST00395,Music,Basic,9.99,4/13/2023,Active
CUST00396,Education,Premium,19.99,6/22/2022,Churned
CUST00397,Gaming,Standard,14.99,5/15/2022,Active
CUST00398,Gaming,Basic,9.99,2/18/2023,Churned
CUST00399,News,Standard,14.99,1/18/2024,Churned
CUST00400,Education,Basic,9.99,10/24/2022,Active
CUST00401,News,Premium,19.99,8/16/2022,Active
CUST00402,Gaming,Standard,14.99,11/16/2022,Churned
CUST00403,Sports,Basic,9.99,1/14/2024,Churned
CUST00404,Music,Standard,14.99,8/20/2022,Churned
CUST00405,Sports,Standard,14.99,10/28/2022,Churned
CUST00406,Education,Standard,14.99,5/13/2024,Active
CUST00407,Sports,Standard,14.99,4/29/2024,Active
CUST00408,Music,Premium,19.99,6/1/2022,Active
CUST00409,Education,Premium,19.99,5/24/2024,Churned
CUST00410,Music,Premium,19.99,1/7/2022,Churned
CUST00411,News,Basic,9.99,4/22/2023,Active
CUST00412,Gaming,Premium,19.99,6/9/2023,Active
CUST00413,News,Standard,14.99,6/12/2024,Active
CUST00414,Gaming,Premium,19.99,9/12/2023,Active
CUST00415,Education,Premium,19.99,1/28/2023,Active
CUST00416,Education,Premium,19.99,6/1/2023,Active
CUST00417,Sports,Basic,9.99,6/27/2022,Churned
CUST00418,Music,Basic,9.99,5/27/2023,Active
CUST00419,Education,Basic,9.99,11/18/2022,Active
CUST00420,Gaming,Premium,19.99,4/16/2023,Churned
CUST00421,Sports,Basic,9.99,2/27/2024,Churned
CUST00422,Gaming,Standard,14.99,12/20/2023,Churned
CUST00423,Music,Basic,9.99,1/16/2023,Active
CUST00424,News,Standard,14.99,11/8/2023,Active
CUST00425,Education,Premium,19.99,4/20/2024,Churned
CUST00426,Sports,Standard,14.99,4/10/2023,Active
CUST00427,Education,Standard,14.99,5/4/2022,Active
CUST00428,Music,Standard,14.99,12/21/2022,Active
CUST00429,Sports,Basic,9.99,2/15/2022,Active
CUST00430,Education,Premium,19.99,5/25/2024,Churned
CUST00431,Gaming,Basic,9.99,6/27/2022,Active
CUST00432,Sports,Premium,19.99,2/5/2024,Active
CUST00433,Education,Basic,9.99,11/16/2022,Active
CUST00434,Music,Premium,19.99,3/25/2022,Active
CUST00435,Education,Standard,14.99,2/21/2023,Churned
CUST00436,News,Premium,19.99,11/14/2022,Churned
CUST00437,Sports,Standard,14.99,2/2/2023,Churned
CUST00438,News,Basic,9.99,4/5/2022,Active
CUST00439,Music,Standard,14.99,7/31/2022,Churned
CUST00440,Sports,Basic,9.99,2/21/2023,Active
CUST00441,Gaming,Basic,9.99,8/16/2022,Active
CUST00442,Gaming,Premium,19.99,2/9/2024,Active
CUST00443,Sports,Standard,14.99,7/3/2023,Active
CUST00444,Gaming,Premium,19.99,2/10/2022,Active
CUST00445,Music,Standard,14.99,1/31/2022,Active
CUST00446,Music,Standard,14.99,1/17/2024,Churned
CUST00447,Sports,Basic,9.99,7/9/2023,Active
CUST00448,Education,Premium,19.99,12/6/2023,Active
CUST00449,Gaming,Basic,9.99,5/11/2022,Active
CUST00450,News,Standard,14.99,7/14/2023,Active
CUST00451,Sports,Basic,9.99,7/26/2023,Churned
CUST00452,News,Basic,9.99,8/15/2023,Churned
CUST00453,Sports,Basic,9.99,1/20/2022,Churned
CUST00454,News,Standard,14.99,9/25/2023,Active
CUST00455,Education,Standard,14.99,10/19/2022,Churned
CUST00456,Sports,Basic,9.99,5/8/2023,Churned
CUST00457,Gaming,Standard,14.99,12/12/2023,Active
CUST00458,Education,Premium,19.99,1/8/2023,Churned
CUST00459,Education,Basic,9.99,4/29/2022,Active
CUST00460,Sports,Standard,14.99,9/18/2022,Active
CUST00461,Sports,Standard,14.99,11/14/2023,Active
CUST00462,Education,Premium,19.99,7/8/2023,Churned
CUST00463,Gaming,Basic,9.99,6/12/2024,Active
CUST00464,News,Premium,19.99,12/23/2022,Active
CUST00465,Music,Standard,14.99,5/16/2023,Active
CUST00466,News,Premium,19.99,4/14/2022,Active
CUST00467,Gaming,Premium,19.99,6/8/2024,Churned
CUST00468,Gaming,Standard,14.99,3/12/2022,Active
CUST00469,News,Basic,9.99,7/1/2022,Active
CUST00470,Gaming,Premium,19.99,10/6/2023,Churned
CUST00471,Sports,Premium,19.99,3/24/2024,Active
CUST00472,News,Standard,14.99,4/24/2022,Active
CUST00473,Sports,Standard,14.99,12/18/2023,Active
CUST00474,Sports,Basic,9.99,3/3/2022,Active
CUST00475,Music,Basic,9.99,2/17/2022,Churned
CUST00476,Music,Premium,19.99,6/11/2022,Active
CUST00477,Sports,Basic,9.99,7/5/2023,Active
CUST00478,Sports,Standard,14.99,12/20/2022,Active
CUST00479,Sports,Basic,9.99,3/16/2023,Churned
CUST00480,Gaming,Basic,9.99,4/12/2024,Active
CUST00481,Education,Basic,9.99,2/29/2024,Active
CUST00482,Education,Premium,19.99,1/19/2024,Active
CUST00483,News,Basic,9.99,11/26/2023,Churned
CUST00484,Music,Standard,14.99,4/11/2023,Active
CUST00485,Sports,Basic,9.99,10/7/2023,Active
CUST00486,Sports,Standard,14.99,2/27/2024,Active
CUST00487,Education,Basic,9.99,10/31/2022,Active
CUST00488,Education,Standard,14.99,3/9/2024,Churned
CUST00489,Music,Standard,14.99,11/16/2022,Active
CUST00490,Sports,Standard,14.99,2/1/2024,Active
CUST00491,Education,Standard,14.99,12/26/2022,Active
CUST00492,Sports,Standard,14.99,12/27/2022,Active
CUST00493,News,Premium,19.99,3/5/2022,Churned
CUST00494,Gaming,Standard,14.99,6/16/2023,Active
CUST00495,News,Standard,14.99,1/8/2024,Churned
CUST00496,Gaming,Basic,9.99,7/22/2023,Churned
CUST00497,News,Basic,9.99,3/2/2023,Churned
CUST00498,News,Standard,14.99,1/20/2024,Active
CUST00499,Gaming,Standard,14.99,2/23/2024,Churned
CUST00500,Sports,Premium,19.99,5/11/2023,Active
CUST00501,News,Standard,14.99,11/7/2023,Active
CUST00502,Sports,Standard,14.99,9/1/2022,Churned
